Gene	Ensembl	MGI	Sum
Esp23	true	true	2
Esp24	true	true	2
Esp3	true	true	2
Esp31	true	true	2
Esp34	true	true	2
Esp36	true	true	2
Esp38	true	true	2
Esp4	true	true	2
Esp5	true	true	2
Esp6	true	true	2
Esp8	true	true	2
F830016B08Rik	true	true	2
Fbxw17	true	true	2
Fcor	true	true	2
Fmo9	true	true	2
Fnd3c2	true	true	2
Fndc3c1	true	true	2
Fsip2l	true	true	2
Ftdc1	true	true	2
Ftdc2	true	true	2
Fthl17c	true	true	2
Fthl17d	true	true	2
Fv1	true	true	2
G430095P16Rik	true	true	2
Glrp1	true	true	2
Gm10033	true	true	2
Gm10061	true	true	2
Gm10128	true	true	2
Gm10130	true	true	2
Gm10135	true	true	2
Gm10139	true	true	2
Gm10160	true	true	2
Gm10181	true	true	2
Gm10188	true	true	2
Gm10190	true	true	2
Gm10197	true	true	2
Gm10198	true	true	2
Gm10203	true	true	2
Gm10217	true	true	2
Gm10220	true	true	2
Gm10226	true	true	2
Gm10228	true	true	2
Gm10234	true	true	2
Gm10251	true	true	2
Gm10267	true	true	2
Gm10271	true	true	2
Gm10277	true	true	2
Gm10282	true	true	2
Gm10283	true	true	2
Gm10302	true	true	2
Gm10309	true	true	2
Gm10310	true	true	2
Gm10337	true	true	2
Gm10338	true	true	2
Gm10340	true	true	2
Gm10354	true	true	2
Gm10375	true	true	2
Gm10376	true	true	2
Gm10377	true	true	2
Gm10378	true	true	2
Gm10401	true	true	2
Gm10406	true	true	2
Gm10408	true	true	2
Gm10409	true	true	2
Gm10413	true	true	2
Gm10428	true	true	2
Gm10439	true	true	2
Gm10471	true	true	2
Gm10490	true	true	2
Gm10491	true	true	2
Gm10521	true	true	2
Gm10563	true	true	2
Gm10643	true	true	2
Gm10662	true	true	2
Gm10663	true	true	2
Gm10665	true	true	2
Gm10668	true	true	2
Gm10670	true	true	2
Gm10715	true	true	2
Gm10717	true	true	2
Gm10718	true	true	2
Gm10719	true	true	2
Gm10720	true	true	2
Gm10721	true	true	2
Gm10722	true	true	2
Gm10770	true	true	2
Gm10772	true	true	2
Gm10775	true	true	2
Gm10799	true	true	2
Gm10800	true	true	2
Gm10801	true	true	2
Gm10944	true	true	2
Gm10945	true	true	2
Gm10959	true	true	2
Gm10961	true	true	2
Gm10964	true	true	2
Gm10974	true	true	2
Gm10985	true	true	2
Gm10999	true	true	2
Gm11007	true	true	2
Gm11009	true	true	2
Gm11011	true	true	2
Gm11020	true	true	2
Gm11027	true	true	2
Gm11032	true	true	2
Gm11034	true	true	2
Gm11037	true	true	2
Gm11042	true	true	2
Gm11060	true	true	2
Gm11077	true	true	2
Gm11084	true	true	2
Gm11096	true	true	2
Gm11099	true	true	2
Gm1110	true	true	2
Gm11111	true	true	2
Gm11114	true	true	2
Gm11115	true	true	2
Gm11116	true	true	2
Gm11146	true	true	2
Gm11168	true	true	2
Gm11172	true	true	2
Gm11232	true	true	2
Gm1140	true	true	2
Gm1141	true	true	2
Gm11444	true	true	2
Gm11541	true	true	2
Gm11565	true	true	2
Gm11567	true	true	2
Gm11627	true	true	2
