Gene	Ensembl	Sum
Cstdc1	true	1
Ct55	true	1
Ctf2	true	1
Ctla2a	true	1
Ctla2b	true	1
Cts3	true	1
Cts6	true	1
Cts7	true	1
Cts8	true	1
Ctsj	true	1
Ctsl	true	1
Ctsll3	true	1
Ctsm	true	1
Ctsq	true	1
Ctsr	true	1
Ctu1	true	1
Cul4b	true	1
Cutal	true	1
Cxadr	true	1
Cxcl1	true	1
Cxcl15	true	1
Cxcl2	true	1
Cxcl3	true	1
Cyct	true	1
Cym	true	1
Cyp11b1	true	1
Cyp11b2	true	1
Cyp2ab1	true	1
Cyp2b10	true	1
Cyp2b13	true	1
Cyp2b19	true	1
Cyp2b23	true	1
Cyp2b9	true	1
Cyp2c23	true	1
Cyp2c29	true	1
Cyp2c37	true	1
Cyp2c38	true	1
Cyp2c39	true	1
Cyp2c40	true	1
Cyp2c50	true	1
Cyp2c54	true	1
Cyp2c65	true	1
Cyp2c66	true	1
Cyp2c67	true	1
Cyp2c68	true	1
Cyp2c69	true	1
Cyp2c70	true	1
Cyp2g1	true	1
Cyp2j11	true	1
Cyp2j12	true	1
Cyp2j5	true	1
Cyp2j6	true	1
Cyp2j7	true	1
Cyp2j8	true	1
Cyp2t4	true	1
Cyp4a12a	true	1
Cyp4a12b	true	1
Cyp4a14	true	1
Cyp4a29	true	1
Cypt1	true	1
Cypt12	true	1
Cypt14	true	1
Cypt15	true	1
Cypt2	true	1
Cypt3	true	1
Cypt4	true	1
Cysltr2	true	1
D130040H23Rik	true	1
D13Ertd608e	true	1
D1Pas1	true	1
D6Ertd527e	true	1
D830030K20Rik	true	1
D930048N14Rik	true	1
Dbil5	true	1
Dcpp1	true	1
Dcpp2	true	1
Dcpp3	true	1
Ddx43	true	1
Defb1	true	1
Defb10	true	1
Defb11	true	1
Defb2	true	1
Defb3	true	1
Defb33	true	1
Defb37	true	1
Defb38	true	1
Defb39	true	1
Defb4	true	1
Defb40	true	1
Defb45	true	1
Defb46	true	1
Defb48	true	1
Defb5	true	1
Defb50	true	1
Defb6	true	1
Defb7	true	1
Defb8	true	1
Defb9	true	1
Dgka	true	1
Dhps	true	1
Dlgap1	true	1
Dmrtc1a	true	1
Dmrtc1b	true	1
Dmrtc1c1	true	1
Dmrtc1c2	true	1
Dnajb3	true	1
Dnajc14	true	1
Dnajc25	true	1
Dnal4	true	1
Doc2g	true	1
Dppa1	true	1
Dsc1	true	1
Dsc2	true	1
Dsc3	true	1
Dsg1a	true	1
