Gene	Ensembl	MGI	2011 paper	2019 paper	Sum
PLEKHG7	true	true	false	false	2
PNLIPRP3	true	true	false	false	2
PNMA6A	true	true	false	false	2
PNPLA4	true	true	false	false	2
PPDPFL	true	true	false	false	2
PPIAL4A	true	true	false	false	2
PPIAL4C	true	true	false	false	2
PPIAL4D	true	true	false	false	2
PPIAL4E	true	true	false	false	2
PPIAL4F	true	true	false	false	2
PPIAL4G	true	true	false	false	2
PPIAL4H	true	true	false	false	2
PPP1R2C	true	true	false	false	2
PRAC1	true	true	false	false	2
PRAC2	true	true	false	false	2
PRAME	true	false	false	true	2
PRH1	true	true	false	false	2
PRKACG	true	true	false	false	2
PRORY	true	true	false	false	2
PRR4	true	true	false	false	2
PRR20A	true	true	false	false	2
PRR20C	true	true	false	false	2
PRR20D	true	true	false	false	2
PRR20E	true	true	false	false	2
PRR20G	true	true	false	false	2
PRR25	true	true	false	false	2
PRTFDC1	true	true	false	false	2
PRY	true	true	false	false	2
PRY2	true	true	false	false	2
PSKH2	true	true	false	false	2
PSORS1C1	true	true	false	false	2
PVALEF	true	true	false	false	2
PXDNL	true	true	false	false	2
PYDC1	true	true	false	false	2
PYDC5	true	true	false	false	2
RAB6D	true	true	false	false	2
RAB41	true	true	false	false	2
RAX2	true	true	false	false	2
RBM23	true	true	false	false	2
RBMY1C	true	true	false	false	2
RBP5	true	true	false	false	2
REELD1	true	true	false	false	2
RGL4	true	true	false	false	2
RGPD2	true	false	false	true	2
RGPD3	true	false	false	true	2
RGPD6	true	false	false	true	2
RGPD8	true	false	false	true	2
RHEX	true	true	false	false	2
RNASE7	true	true	false	false	2
RNASE8	true	true	false	false	2
RNF175	true	true	false	false	2
RPA4	true	true	false	false	2
RPL26L1	true	true	false	false	2
RTL10	true	true	false	false	2
RTP5	true	true	false	false	2
S100A12	true	true	false	false	2
S100P	true	true	false	false	2
SAMD9	true	true	false	false	2
SCGB1D1	true	true	false	false	2
SCGB1D2	true	true	false	false	2
SCGB1D4	true	true	false	false	2
SCGB2B2	true	true	false	false	2
SCML1	true	true	false	false	2
SCNN1D	true	true	false	false	2
SCYGR1	true	true	false	false	2
SCYGR2	true	true	false	false	2
SCYGR3	true	true	false	false	2
SCYGR4	true	true	false	false	2
SCYGR5	true	true	false	false	2
SCYGR6	true	true	false	false	2
SCYGR7	true	true	false	false	2
SCYGR8	true	true	false	false	2
SCYGR9	true	true	false	false	2
SCYGR10	true	true	false	false	2
SDIM1	true	true	false	false	2
SERF1B	true	false	false	true	2
SERPINA4	true	true	false	false	2
SETD9	true	true	false	false	2
SH2D3A	true	true	false	false	2
SHOX	true	true	false	false	2
SLC2A4RG	true	true	false	false	2
SLC2A11	true	true	false	false	2
SLC6A15	true	false	false	true	2
SLC9C2	true	true	false	false	2
SLC22A11	true	true	false	false	2
SLC22A24	true	true	false	false	2
SLC22A31	true	true	false	false	2
SLC25A6	true	true	false	false	2
SLC47A2	true	true	false	false	2
SLC66A1L	true	true	false	false	2
SMIM2	true	true	false	false	2
SMIM21	true	true	false	false	2
SMIM28	true	true	false	false	2
SMIM42	true	true	false	false	2
SMIM44	true	true	false	false	2
SMKR1	true	true	false	false	2
SMR3B	true	true	false	false	2
SPANXN4	true	true	false	false	2
SPATA12	true	true	false	false	2
SPATA31A1	true	false	false	true	2
SPATA31A3	true	false	false	true	2
SPATA31A5	true	false	false	true	2
SPATA31A6	true	false	false	true	2
SPATA31A7	true	false	false	true	2
SPDYC	true	true	false	false	2
SPDYE10	true	true	false	false	2
SPDYE12	true	true	false	false	2
SPEGNB	true	true	false	false	2
SPIN3	true	true	false	false	2
SPRR2D	true	true	false	false	2
SPRR2G	true	true	false	false	2
SPRR5	true	true	false	false	2
SPRY3	true	false	false	true	2
SPTY2D1OS	true	true	false	false	2
SRSF8	true	true	false	false	2
ST20	true	true	false	false	2
STATH	true	true	false	false	2
STH	true	true	false	false	2
STK17A	true	true	false	false	2
STS	true	true	false	false	2
STX10	true	true	false	false	2
TAS2R5	true	true	false	false	2
TAS2R8	true	true	false	false	2
TAS2R9	true	true	false	false	2
TAS2R33	true	true	false	false	2
TAS2R36	true	true	false	false	2
TBC1D3B	true	true	false	false	2
TBC1D3C	true	true	false	false	2
TBC1D3D	true	true	false	false	2
TBC1D3E	true	true	false	false	2
TBC1D3F	true	true	false	false	2
TBC1D3G	true	true	false	false	2
TBC1D3H	true	true	false	false	2
TBC1D3I	true	true	false	false	2
TBC1D3K	true	true	false	false	2
TBC1D3L	true	true	false	false	2
TBC1D28	true	true	false	false	2
TCEAL2	true	true	false	false	2
TCEAL4	true	true	false	false	2
TCN1	true	true	false	false	2
TDRD10	true	true	false	false	2
TDRD15	true	true	false	false	2
THAP5	true	true	false	false	2
THAP6	true	true	false	false	2
THAP8	true	true	false	false	2
THAP9	true	true	false	false	2
THAP10	true	true	false	false	2
TIAF1	true	true	false	false	2
TIGD1	true	true	false	false	2
TIGD6	true	true	false	false	2
TIGD7	true	true	false	false	2
TLR10	true	true	false	false	2
TM4SF18	true	true	false	false	2
TMDD1	true	true	false	false	2
TMEM31	true	true	false	false	2
TMEM78	true	true	false	false	2
TMEM187	true	true	false	false	2
TMEM217B	true	true	false	false	2
TMEM225B	true	true	false	false	2
TMEM244	true	true	false	false	2
TMEM272	true	true	false	false	2
TMIGD2	true	true	false	false	2
TNFRSF6B	true	true	false	false	2
TOMT	true	true	false	false	2
TP53AIP1	true	true	false	false	2
TP53I3	true	true	false	false	2
TP53TG3B	true	true	false	false	2
TP53TG3E	true	true	false	false	2
TP53TG3F	true	true	false	false	2
TPRX1	true	true	false	false	2
TPRX2	true	true	false	false	2
TRA	true	true	false	false	2
TRABD2A	true	true	false	false	2
TRB	true	true	false	false	2
TRD	true	true	false	false	2
TRG	true	true	false	false	2
TRIM4	true	true	false	false	2
TRIM49C	true	false	false	true	2
TRIM49D1	true	true	false	false	2
TRIM49D2	true	true	false	false	2
TRIM51	true	false	false	true	2
TRIM51G	true	true	false	false	2
TRIM64	true	false	false	true	2
TRIM74	true	false	false	true	2
TRMT61B	true	true	false	false	2
TSNARE1	true	true	false	false	2
TSPAN16	true	true	false	false	2
TSPAN19	true	true	false	false	2
TSPY1	true	true	false	false	2
TSPY2	true	true	false	false	2
TSPY3	true	true	false	false	2
TSPY4	true	true	false	false	2
TSPY8	true	true	false	false	2
TSPY9	true	true	false	false	2
TSPY10	true	true	false	false	2
TTC31	true	true	false	false	2
TUBA3E	true	true	false	false	2
TUBA4B	true	true	false	false	2
TUBB8	true	true	false	false	2
TUBB8B	true	true	false	false	2
UBE2NL	true	true	false	false	2
UBE2Q2L	true	true	false	false	2
UGT1A	true	true	false	false	2
USP17L23	true	true	false	false	2
USP17L24	true	true	false	false	2
USP17L25	true	true	false	false	2
USP17L26	true	true	false	false	2
USP17L27	true	true	false	false	2
USP17L29	true	true	false	false	2
USP17L30	true	true	false	false	2
VAMP7	true	false	false	true	2
VCX	true	true	false	false	2
VCY1B	true	true	false	false	2
VENTX	true	true	false	false	2
VN1R1	true	true	false	false	2
